Driver,Sector,Std
Harry Tincknell,1,8.038969159641047
Harry Tincknell,2,9.808017484583273
Harry Tincknell,3,9.825653954337366
Filipe Albuquerque,1,8.038969159641047
Filipe Albuquerque,2,9.808017484583273
Filipe Albuquerque,3,9.825653954337366
Pipo Derani,1,8.038969159641047
Pipo Derani,2,9.808017484583273
Pipo Derani,3,9.825653954337366
Kevin Magnussen,1,8.038969159641047
Kevin Magnussen,2,9.808017484583273
Kevin Magnussen,3,9.825653954337366
Dane Cameron,1,8.038969159641047
Dane Cameron,2,9.808017484583273
Dane Cameron,3,9.825653954337366
Tristan Vautier,1,8.038969159641047
Tristan Vautier,2,9.808017484583273
Tristan Vautier,3,9.825653954337366
Gar Robinson,1,8.038969159641047
Gar Robinson,2,9.808017484583273
Gar Robinson,3,9.825653954337366
Jarett Andretti,1,8.038969159641047
Jarett Andretti,2,9.808017484583273
Jarett Andretti,3,9.825653954337366
Jonathan Bennett,1,8.038969159641047
Jonathan Bennett,2,9.808017484583273
Jonathan Bennett,3,9.825653954337366
Lance Willsey,1,8.038969159641047
Lance Willsey,2,9.808017484583273
Lance Willsey,3,9.825653954337366
Dan Goldburg,1,8.038969159641047
Dan Goldburg,2,9.808017484583273
Dan Goldburg,3,9.825653954337366
Jim Cox,1,8.038969159641047
Jim Cox,2,9.808017484583273
Jim Cox,3,9.825653954337366
Aaron Telitz,1,8.038969159641047
Aaron Telitz,2,9.808017484583273
Aaron Telitz,3,9.825653954337366
Robby Foley,1,8.038969159641047
Robby Foley,2,9.808017484583273
Robby Foley,3,9.825653954337366
Daniel Morad,1,8.038969159641047
Daniel Morad,2,9.808017484583273
Daniel Morad,3,9.825653954337366
Frankie Montecalvo,1,8.038969159641047
Frankie Montecalvo,2,9.808017484583273
Frankie Montecalvo,3,9.825653954337366
Madison Snow,1,8.038969159641047
Madison Snow,2,9.808017484583273
Madison Snow,3,9.825653954337366
Roman De Angelis,1,8.038969159641047
Roman De Angelis,2,9.808017484583273
Roman De Angelis,3,9.825653954337366
Richard Heistand,1,8.038969159641047
Richard Heistand,2,9.808017484583273
Richard Heistand,3,9.825653954337366
Jeff Kingsley,1,8.038969159641047
Jeff Kingsley,2,9.808017484583273
Jeff Kingsley,3,9.825653954337366
Till Bechtolsheimer,1,8.038969159641047
Till Bechtolsheimer,2,9.808017484583273
Till Bechtolsheimer,3,9.825653954337366
Zacharie Robichon,1,8.038969159641047
Zacharie Robichon,2,9.808017484583273
Zacharie Robichon,3,9.825653954337366
Ryan Hardwick,1,8.038969159641047
Ryan Hardwick,2,9.808017484583273
Ryan Hardwick,3,9.825653954337366
Rob Ferriol,1,8.038969159641047
Rob Ferriol,2,9.808017484583273
Rob Ferriol,3,9.825653954337366
John Potter,1,8.038969159641047
John Potter,2,9.808017484583273
John Potter,3,9.825653954337366
Felipe Nasr,1,8.038969159641047
Felipe Nasr,2,9.808017484583273
Felipe Nasr,3,9.825653954337366
Olivier Pla,1,8.038969159641047
Olivier Pla,2,9.808017484583273
Olivier Pla,3,9.825653954337366
Patrick Long,1,8.038969159641047
Patrick Long,2,9.808017484583273
Patrick Long,3,9.825653954337366
Dylan Murry,1,8.038969159641047
Dylan Murry,2,9.808017484583273
Dylan Murry,3,9.825653954337366
Jack Hawksworth,1,8.038969159641047
Jack Hawksworth,2,9.808017484583273
Jack Hawksworth,3,9.825653954337366
Joao Barbosa,1,8.038969159641047
Joao Barbosa,2,9.808017484583273
Joao Barbosa,3,9.825653954337366
Felipe Fraga,1,8.038969159641047
Felipe Fraga,2,9.808017484583273
Felipe Fraga,3,9.825653954337366
Michael de Quesada,1,8.038969159641047
Michael de Quesada,2,9.808017484583273
Michael de Quesada,3,9.825653954337366
Colin Braun,1,8.038969159641047
Colin Braun,2,9.808017484583273
Colin Braun,3,9.825653954337366
Rasmus Lindh,1,8.038969159641047
Rasmus Lindh,2,9.808017484583273
Rasmus Lindh,3,9.825653954337366
Oliver Askew,1,8.038969159641047
Oliver Askew,2,9.808017484583273
Oliver Askew,3,9.825653954337366
Mario Farnbacher,1,8.038969159641047
Mario Farnbacher,2,9.808017484583273
Mario Farnbacher,3,9.825653954337366
Andy Lally,1,8.038969159641047
Andy Lally,2,9.808017484583273
Andy Lally,3,9.825653954337366
Zach Veach,1,8.038969159641047
Zach Veach,2,9.808017484583273
Zach Veach,3,9.825653954337366
Ross Gunn,1,8.038969159641047
Ross Gunn,2,9.808017484583273
Ross Gunn,3,9.825653954337366
Marc Miller,1,8.038969159641047
Marc Miller,2,9.808017484583273
Marc Miller,3,9.825653954337366
Katherine Legge,1,8.038969159641047
Katherine Legge,2,9.808017484583273
Katherine Legge,3,9.825653954337366
Bryan Sellers,1,8.038969159641047
Bryan Sellers,2,9.808017484583273
Bryan Sellers,3,9.825653954337366
Jeff Westphal,1,8.038969159641047
Jeff Westphal,2,9.808017484583273
Jeff Westphal,3,9.825653954337366
Laurens Vanthoor,1,8.038969159641047
Laurens Vanthoor,2,9.808017484583273
Laurens Vanthoor,3,9.825653954337366
Loic Duval,1,8.038969159641047
Loic Duval,2,9.808017484583273
Loic Duval,3,9.825653954337366
Oliver Jarvis,1,8.038969159641047
Oliver Jarvis,2,9.808017484583273
Oliver Jarvis,3,9.825653954337366
Renger van der Zande,1,8.038969159641047
Renger van der Zande,2,9.808017484583273
Renger van der Zande,3,9.825653954337366
Ricky Taylor,1,8.038969159641047
Ricky Taylor,2,9.808017484583273
Ricky Taylor,3,9.825653954337366
Bill Auberlen,1,8.038969159641047
Bill Auberlen,2,9.808017484583273
Bill Auberlen,3,9.825653954337366
